日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2017年10月,100.7,泸州,3,3,2017-10-01,0.007000000000000117,1.4017193127333294
2017年9月,100.1,泸州,3,3,2017-09-01,0.0009999999999998899,1.3919754843429288
2017年8月,99.7,泸州,3,3,2017-08-01,-0.0030000000000000027,1.3905848994434855
2017年7月,100.3,泸州,3,3,2017-07-01,0.0029999999999998916,1.3947692070646796
2017年6月,100.9,泸州,3,3,2017-06-01,0.009000000000000119,1.3905974148202191
2017年5月,100.2,泸州,3,3,2017-05-01,0.0020000000000000018,1.3781936717742507
2017年4月,100.4,泸州,3,3,2017-04-01,0.0040000000000000036,1.375442786201847
2017年3月,100.5,泸州,3,3,2017-03-01,0.004999999999999893,1.369962934463991
2017年2月,100.1,泸州,3,3,2017-02-01,0.0009999999999998899,1.363147198471633
2017年1月,99.8,泸州,3,3,2017-01-01,-0.0020000000000000018,1.3617854130585747
2016年12月,100.4,泸州,3,3,2016-12-01,0.0040000000000000036,1.3645144419424595
2016年11月,100.6,泸州,3,3,2016-11-01,0.006000000000000005,1.3590781294247605
2016年10月,99.7,泸州,3,3,2016-10-01,-0.0030000000000000027,1.3509722956508554
2016年9月,101.1,泸州,3,3,2016-09-01,0.010999999999999899,1.355037407874479
2016年8月,100.2,泸州,3,3,2016-08-01,0.0020000000000000018,1.3402941719826698
2016年7月,100.3,泸州,3,3,2016-07-01,0.0029999999999998916,1.3376189341144409
2016年6月,100.3,泸州,3,3,2016-06-01,0.0029999999999998916,1.3336180798748165
2016年5月,100.4,泸州,3,3,2016-05-01,0.0040000000000000036,1.3296291922979229
2016年4月,100.5,泸州,3,3,2016-04-01,0.004999999999999893,1.3243318648385687
2016年3月,100.3,泸州,3,3,2016-03-01,0.0029999999999998916,1.3177431490931033
2016年2月,99.3,泸州,3,3,2016-02-01,-0.007000000000000006,1.3138017438615188
2016年1月,100.4,泸州,3,3,2016-01-01,0.0040000000000000036,1.3230631861646716
2015年12月,100.0,泸州,3,3,2015-12-01,0.0,1.3177920180923024
2015年11月,99.8,泸州,3,3,2015-11-01,-0.0020000000000000018,1.3177920180923024
2015年10月,100.2,泸州,3,3,2015-10-01,0.0020000000000000018,1.3204328838600226
2015年9月,100.9,泸州,3,3,2015-09-01,0.009000000000000119,1.3177972892814596
2015年8月,99.8,泸州,3,3,2015-08-01,-0.0020000000000000018,1.3060429031530816
2015年7月,99.9,泸州,3,3,2015-07-01,-0.0009999999999998899,1.3086602236002822
2015年6月,99.6,泸州,3,3,2015-06-01,-0.0040000000000000036,1.3099701937940762
2015年5月,99.7,泸州,3,3,2015-05-01,-0.0030000000000000027,1.3152311182671448
2015年4月,99.4,泸州,3,3,2015-04-01,-0.005999999999999894,1.319188684320105
2015年3月,99.8,泸州,3,3,2015-03-01,-0.0020000000000000018,1.3271515938834053
2015年2月,100.0,泸州,3,3,2015-02-01,0.0,1.3298112163160374
